customer,timestamp,pv_kwh,load_kwh,price_aud_per_kwh,total_demand_mw,net_load_kwh
1,2012-07-01 00:30:00+10:00,0.0,0.855,0.05704,8097.93,0.855
1,2012-07-01 01:00:00+10:00,0.0,0.786,0.053689999999999995,7852.57,0.786
1,2012-07-01 01:30:00+10:00,0.0,0.604,0.05194,7632.28,0.604
1,2012-07-01 02:00:00+10:00,0.0,0.544,0.05213,7384.7,0.544
1,2012-07-01 02:30:00+10:00,0.0,0.597,0.047439999999999996,7112.43,0.597
1,2012-07-01 03:00:00+10:00,0.0,0.612,0.04597,6819.54,0.612
1,2012-07-01 03:30:00+10:00,0.0,1.245,0.041909999999999996,6681.84,1.245
1,2012-07-01 04:00:00+10:00,0.0,0.665,0.03442,6608.37,0.665
1,2012-07-01 04:30:00+10:00,0.0,0.076,0.046810000000000004,6517.26,0.076
1,2012-07-01 05:00:00+10:00,0.0,0.14,0.05005,6458.57,0.14
1,2012-07-01 05:30:00+10:00,0.0,0.657,0.05263,6583.26,0.657
1,2012-07-01 06:00:00+10:00,0.0,0.337,0.05145,6681.67,0.337
1,2012-07-01 06:30:00+10:00,0.0,0.048,0.05066,6854.62,0.048
1,2012-07-01 07:00:00+10:00,0.0,0.101,0.052450000000000004,7133.54,0.101
1,2012-07-01 07:30:00+10:00,0.006,0.05,0.0525,7411.69,0.044000000000000004
1,2012-07-01 08:00:00+10:00,0.038,0.219,0.05504,7936.87,0.181
1,2012-07-01 08:30:00+10:00,0.088,0.334,0.055200000000000006,8433.15,0.24600000000000002
1,2012-07-01 09:00:00+10:00,0.175,0.164,0.05877,8827.22,-0.010999999999999982
1,2012-07-01 09:30:00+10:00,0.281,0.374,0.06049,9089.8,0.09299999999999997
1,2012-07-01 10:00:00+10:00,0.419,0.201,0.060399999999999995,9149.78,-0.21799999999999997
1,2012-07-01 10:30:00+10:00,0.581,0.077,0.06066,9135.86,-0.504
1,2012-07-01 11:00:00+10:00,0.619,0.38,0.05722,8908.7,-0.239
1,2012-07-01 11:30:00+10:00,0.681,0.051,0.05866,8861.62,-0.63
1,2012-07-01 12:00:00+10:00,0.488,0.11,0.059,8871.93,-0.378
1,2012-07-01 12:30:00+10:00,0.513,0.043,0.05798,8748.04,-0.47000000000000003
1,2012-07-01 13:00:00+10:00,0.125,0.109,0.05868,8707.82,-0.016
1,2012-07-01 13:30:00+10:00,0.95,0.292,0.05837,8579.13,-0.6579999999999999
